date,rain,runoff
2023/1/1,0.00 ,150.00 
2023/1/2,0.00 ,180.00 
2023/1/3,1.50 ,760.00 
2023/1/4,0.00 ,340.00 
2023/1/5,0.00 ,220.00 
2023/1/6,0.00 ,110.00 
2023/1/7,0.00 ,60.00 
2023/1/8,2.40 ,430.00 
2023/1/9,35.70 ,7630.00 
2023/1/10,0.00 ,2140.00 
2023/1/11,0.70 ,1360.00 
2023/1/12,9.20 ,2890.00 
2023/1/13,8.50 ,5470.00 
2023/1/14,0.00 ,2130.00 
2023/1/15,0.00 ,1460.00 
2023/1/16,1.60 ,1250.00 
2023/1/17,0.00 ,1150.00 
2023/1/18,0.00 ,1000.00 
2023/1/19,0.00 ,570.00 
2023/1/20,0.00 ,370.00 
2023/1/21,0.00 ,340.00 
2023/1/22,0.00 ,370.00 
2023/1/23,0.00 ,360.00 
2023/1/24,0.00 ,260.00 
2023/1/25,0.00 ,290.00 
2023/1/26,0.00 ,300.00 
2023/1/27,0.00 ,250.00 
2023/1/28,0.00 ,240.00 
2023/1/29,0.00 ,200.00 
2023/1/30,0.00 ,370.00 
2023/1/31,0.00 ,730.00 
2023/2/1,0.00 ,400.00 
2023/2/2,0.00 ,300.00 
2023/2/3,0.00 ,530.00 
2023/2/4,7.00 ,650.00 
2023/2/5,25.00 ,4420.00 
2023/2/6,3.50 ,1370.00 
2023/2/7,7.10 ,2320.00 
2023/2/8,1.10 ,1380.00 
2023/2/9,2.80 ,1220.00 
2023/2/10,9.90 ,4130.00 
2023/2/11,5.70 ,3850.00 
2023/2/12,2.70 ,2410.00 
2023/2/13,3.90 ,2050.00 
2023/2/14,0.00 ,1320.00 
2023/2/15,0.00 ,1030.00 
2023/2/16,0.00 ,890.00 
2023/2/17,0.00 ,930.00 
2023/2/18,0.00 ,760.00 
2023/2/19,0.00 ,560.00 
2023/2/20,0.00 ,500.00 
2023/2/21,0.00 ,480.00 
2023/2/22,0.00 ,460.00 
2023/2/23,0.00 ,870.00 
2023/2/24,0.00 ,410.00 
2023/2/25,0.00 ,920.00 
2023/2/26,0.00 ,1230.00 
2023/2/27,0.00 ,550.00 
2023/2/28,0.00 ,600.00 
2023/3/1,0.00 ,460.00 
2023/3/2,0.00 ,340.00 
2023/3/3,0.30 ,370.00 
2023/3/4,0.00 ,420.00 
2023/3/5,0.00 ,310.00 
2023/3/6,0.00 ,360.00 
2023/3/7,0.00 ,310.00 
2023/3/8,0.00 ,390.00 
2023/3/9,0.00 ,320.00 
2023/3/10,0.00 ,200.00 
2023/3/11,0.00 ,140.00 
2023/3/12,6.20 ,540.00 
2023/3/13,0.00 ,300.00 
2023/3/14,0.00 ,310.00 
2023/3/15,0.00 ,270.00 
2023/3/16,0.00 ,280.00 
2023/3/17,0.00 ,220.00 
2023/3/18,0.00 ,1800.00 
2023/3/19,0.00 ,2600.00 
2023/3/20,0.00 ,1660.00 
2023/3/21,0.00 ,1310.00 
2023/3/22,0.00 ,590.00 
2023/3/23,36.30 ,6500.00 
2023/3/24,63.00 ,26860.00 
2023/3/25,94.00 ,39220.00 
2023/3/26,5.70 ,20280.00 
2023/3/27,26.10 ,23480.00 
2023/3/28,6.90 ,14600.00 
2023/3/29,23.60 ,23280.00 
2023/3/30,9.30 ,18700.00 
2023/3/31,1.10 ,11780.00 
2023/4/1,1.70 ,8900.00 
2023/4/2,9.90 ,12010.00 
2023/4/3,2.10 ,8270.00 
2023/4/4,60.80 ,26540.00 
2023/4/5,26.70 ,33330.00 
2023/4/6,0.70 ,19560.00 
2023/4/7,0.00 ,14030.00 
2023/4/8,0.00 ,11420.00 
2023/4/9,0.00 ,9890.00 
2023/4/10,0.00 ,8510.00 
2023/4/11,0.00 ,7490.00 
2023/4/12,0.00 ,7500.00 
2023/4/13,3.90 ,5540.00 
2023/4/14,1.50 ,4580.00 
2023/4/15,0.40 ,4010.00 
2023/4/16,0.00 ,3000.00 
2023/4/17,0.00 ,2050.00 
2023/4/18,0.00 ,2910.00 
2023/4/19,62.30 ,25310.00 
2023/4/20,0.00 ,9940.00 
2023/4/21,0.00 ,6880.00 
2023/4/22,1.50 ,6020.00 
2023/4/23,25.50 ,13870.00 
2023/4/24,0.60 ,13820.00 
2023/4/25,1.70 ,10840.00 
2023/4/26,0.00 ,8230.00 
2023/4/27,0.00 ,6200.00 
2023/4/28,0.00 ,5990.00 
2023/4/29,9.50 ,10070.00 
2023/4/30,0.00 ,5730.00 
2023/5/1,0.00 ,4050.00 
2023/5/2,0.00 ,3560.00 
2023/5/3,0.00 ,3790.00 
2023/5/4,0.00 ,3270.00 
2023/5/5,0.00 ,2950.00 
2023/5/6,105.70 ,19590.00 
2023/5/7,14.20 ,26870.00 
2023/5/8,0.00 ,15750.00 
2023/5/9,0.20 ,12880.00 
2023/5/10,20.00 ,17070.00 
2023/5/11,10.10 ,18480.00 
2023/5/12,0.10 ,12500.00 
2023/5/13,0.00 ,10060.00 
2023/5/14,0.20 ,9090.00 
2023/5/15,0.00 ,7540.00 
2023/5/16,0.00 ,7380.00 
2023/5/17,4.80 ,9950.00 
2023/5/18,2.80 ,7910.00 
2023/5/19,0.00 ,6450.00 
2023/5/20,4.40 ,6880.00 
2023/5/21,10.30 ,10270.00 
2023/5/22,6.90 ,9570.00 
2023/5/23,0.00 ,6760.00 
2023/5/24,1.00 ,6380.00 
2023/5/25,14.80 ,6280.00 
2023/5/26,0.10 ,5970.00 
2023/5/27,0.00 ,4310.00 
2023/5/28,0.00 ,3860.00 
2023/5/29,0.00 ,3540.00 
2023/5/30,0.00 ,2940.00 
2023/5/31,0.00 ,2740.00 
2023/6/1,0.00 ,2810.00 
2023/6/2,0.00 ,2750.00 
2023/6/3,26.60 ,10180.00 
2023/6/4,9.40 ,13300.00 
2023/6/5,0.00 ,6060.00 
2023/6/6,0.00 ,4890.00 
2023/6/7,3.90 ,4630.00 
2023/6/8,0.90 ,4440.00 
2023/6/9,2.00 ,4160.00 
2023/6/10,0.90 ,4110.00 
2023/6/11,0.00 ,3160.00 
2023/6/12,0.00 ,2570.00 
2023/6/13,0.00 ,3100.00 
2023/6/14,1.10 ,2830.00 
2023/6/15,0.00 ,3060.00 
2023/6/16,3.60 ,3930.00 
2023/6/17,41.50 ,9180.00 
2023/6/18,38.80 ,17000.00 
2023/6/19,0.70 ,7520.00 
2023/6/20,0.20 ,4710.00 
2023/6/21,0.00 ,3610.00 
2023/6/22,5.10 ,4450.00 
2023/6/23,13.60 ,7160.00 
2023/6/24,13.60 ,12310.00 
2023/6/25,0.70 ,6260.00 
2023/6/26,2.70 ,5340.00 
2023/6/27,0.40 ,4460.00 
2023/6/28,0.00 ,3660.00 
2023/6/29,0.00 ,2690.00 
2023/6/30,0.00 ,2840.00 
2023/7/1,10.60 ,2600.00 
2023/7/2,0.00 ,2370.00 
2023/7/3,1.00 ,2220.00 
2023/7/4,0.00 ,2070.00 
2023/7/5,0.00 ,2270.00 
2023/7/6,0.00 ,1690.00 
2023/7/7,0.00 ,1370.00 
2023/7/8,0.00 ,1480.00 
2023/7/9,0.00 ,1150.00 
2023/7/10,0.00 ,1330.00 
2023/7/11,0.00 ,870.00 
2023/7/12,0.00 ,930.00 
2023/7/13,0.00 ,640.00 
2023/7/14,0.00 ,480.00 
2023/7/15,0.70 ,640.00 
2023/7/16,21.30 ,6690.00 
2023/7/17,0.00 ,7450.00 
2023/7/18,11.50 ,3500.00 
2023/7/19,1.60 ,5110.00 
2023/7/20,0.20 ,3410.00 
2023/7/21,0.00 ,2040.00 
2023/7/22,0.00 ,1670.00 
2023/7/23,0.00 ,1250.00 
2023/7/24,0.00 ,1140.00 
2023/7/25,0.00 ,970.00 
2023/7/26,0.00 ,630.00 
2023/7/27,0.00 ,360.00 
2023/7/28,0.00 ,640.00 
2023/7/29,0.00 ,600.00 
2023/7/30,28.00 ,2920.00 
2023/7/31,0.00 ,1990.00 
2023/8/1,6.50 ,2335.00 
2023/8/2,0.00 ,2335.00 
2023/8/3,0.00 ,1130.00 
2023/8/4,0.00 ,430.00 
2023/8/5,0.00 ,450.00 
2023/8/6,0.00 ,260.00 
2023/8/7,0.00 ,190.00 
2023/8/8,0.00 ,600.00 
2023/8/9,0.40 ,360.00 
2023/8/10,32.30 ,4340.00 
2023/8/11,0.50 ,4240.00 
2023/8/12,13.30 ,7380.00 
2023/8/13,13.00 ,6820.00 
2023/8/14,4.10 ,5540.00 
2023/8/15,3.80 ,3480.00 
2023/8/16,2.70 ,2300.00 
2023/8/17,0.60 ,1400.00 
2023/8/18,0.00 ,1000.00 
2023/8/19,1.50 ,980.00 
2023/8/20,28.70 ,3030.00 
2023/8/21,0.10 ,2340.00 
2023/8/22,5.60 ,3000.00 
2023/8/23,30.40 ,2670.00 
2023/8/24,2.20 ,2610.00 
2023/8/25,0.00 ,1770.00 
2023/8/26,0.10 ,1580.00 
2023/8/27,36.70 ,4300.00 
2023/8/28,27.30 ,10310.00 
2023/8/29,27.50 ,16730.00 
2023/8/30,0.00 ,4300.00 
2023/8/31,0.20 ,2880.00 
2023/9/1,2.30 ,3000.00 
2023/9/2,0.00 ,2260.00 
2023/9/3,0.00 ,1730.00 
2023/9/4,0.00 ,1120.00 
2023/9/5,5.30 ,1660.00 
2023/9/6,14.30 ,4310.00 
2023/9/7,4.70 ,4500.00 
2023/9/8,6.10 ,2840.00 
2023/9/9,0.00 ,1950.00 
2023/9/10,4.80 ,2270.00 
2023/9/11,0.00 ,1540.00 
2023/9/12,0.00 ,1520.00 
2023/9/13,4.60 ,3430.00 
2023/9/14,28.50 ,17540.00 
2023/9/15,34.40 ,27520.00 
2023/9/16,0.10 ,9590.00 
2023/9/17,0.00 ,7180.00 
2023/9/18,0.00 ,5270.00 
2023/9/19,0.00 ,3410.00 
2023/9/20,0.00 ,2790.00 
2023/9/21,0.00 ,2210.00 
2023/9/22,0.00 ,1780.00 
2023/9/23,0.00 ,1800.00 
2023/9/24,0.00 ,1740.00 
2023/9/25,22.20 ,1170.00 
2023/9/26,0.00 ,2510.00 
2023/9/27,0.30 ,1860.00 
2023/9/28,0.60 ,2600.00 
2023/9/29,14.60 ,2700.00 
2023/9/30,0.00 ,1540.00 
2023/10/1,0.00 ,1570.00 
2023/10/2,0.00 ,1210.00 
2023/10/3,0.00 ,1490.00 
2023/10/4,0.00 ,1690.00 
2023/10/5,0.00 ,1430.00 
2023/10/6,1.00 ,1280.00 
2023/10/7,3.30 ,2050.00 
2023/10/8,5.80 ,2630.00 
2023/10/9,2.50 ,3000.00 
2023/10/10,3.20 ,3030.00 
2023/10/11,0.10 ,2270.00 
2023/10/12,0.00 ,2220.00 
2023/10/13,0.00 ,2020.00 
2023/10/14,0.00 ,1760.00 
2023/10/15,0.00 ,1600.00 
2023/10/16,0.00 ,1110.00 
2023/10/17,0.00 ,1210.00 
2023/10/18,0.00 ,2250.00 
2023/10/19,3.20 ,2950.00 
2023/10/20,6.20 ,2870.00 
2023/10/21,0.90 ,1920.00 
2023/10/22,0.00 ,1670.00 
2023/10/23,0.00 ,1170.00 
2023/10/24,0.00 ,1330.00 
2023/10/25,0.00 ,1180.00 
2023/10/26,0.00 ,1420.00 
2023/10/27,17.40 ,3820.00 
2023/10/28,0.60 ,1860.00 
2023/10/29,0.00 ,2050.00 
2023/10/30,0.00 ,1300.00 
2023/10/31,0.00 ,1000.00 
2023/11/1,0.00 ,1600.00 
2023/11/2,0.00 ,1500.00 
2023/11/3,0.00 ,1040.00 
2023/11/4,0.00 ,1290.00 
2023/11/5,0.00 ,1060.00 
2023/11/6,0.00 ,920.00 
2023/11/7,0.00 ,650.00 
2023/11/8,13.30 ,3140.00 
2023/11/9,0.00 ,1480.00 
2023/11/10,40.80 ,17220.00 
2023/11/11,0.20 ,5300.00 
2023/11/12,2.20 ,2780.00 
2023/11/13,0.40 ,1980.00 
2023/11/14,1.20 ,2290.00 
2023/11/15,0.80 ,2530.00 
2023/11/16,1.40 ,2380.00 
2023/11/17,0.00 ,1920.00 
2023/11/18,0.00 ,1400.00 
2023/11/19,0.00 ,1420.00 
2023/11/20,0.00 ,1370.00 
2023/11/21,0.00 ,1200.00 
2023/11/22,0.00 ,1090.00 
2023/11/23,0.00 ,1350.00 
2023/11/24,0.00 ,1190.00 
2023/11/25,0.00 ,1150.00 
2023/11/26,0.00 ,1320.00 
2023/11/27,0.00 ,1230.00 
2023/11/28,0.00 ,1450.00 
2023/11/29,0.00 ,1350.00 
2023/11/30,1.00 ,1240.00 
2023/12/1,0.00 ,880.00 
2023/12/2,0.00 ,890.00 
2023/12/3,2.00 ,950.00 
2023/12/4,15.00 ,3380.00 
2023/12/5,0.00 ,1580.00 
2023/12/6,0.00 ,1070.00 
2023/12/7,0.00 ,900.00 
2023/12/8,0.00 ,930.00 
2023/12/9,0.00 ,1150.00 
2023/12/10,0.00 ,1650.00 
2023/12/11,0.00 ,820.00 
2023/12/12,0.00 ,620.00 
2023/12/13,0.00 ,540.00 
2023/12/14,0.00 ,1140.00 
2023/12/15,0.00 ,920.00 
2023/12/16,4.30 ,890.00 
2023/12/17,1.40 ,830.00 
2023/12/18,1.40 ,850.00 
2023/12/19,4.30 ,1210.00 
2023/12/20,0.10 ,820.00 
2023/12/21,0.00 ,720.00 
2023/12/22,0.00 ,840.00 
2023/12/23,0.00 ,600.00 
2023/12/24,0.00 ,1080.00 
2023/12/25,0.00 ,1540.00 
2023/12/26,0.00 ,1280.00 
2023/12/27,0.00 ,1050.00 
2023/12/28,0.00 ,690.00 
2023/12/29,0.00 ,1280.00 
2023/12/30,0.40 ,1120.00 
2023/12/31,0.00 ,850.00 
