date,TN,TP
2023/1/1,0.39,0.042
2023/1/2,0.39,0.037
2023/1/3,0.77,0.086
2023/1/4,0.54,0.06
2023/1/5,0.5,0.046
2023/1/6,0.43,0.045
2023/1/7,0.39,0.043
2023/1/8,0.68,0.05
2023/1/9,1.47,0.14
2023/1/10,1.1,0.084
2023/1/11,1.22,0.071
2023/1/12,1.01,0.075
2023/1/13,1.36,0.093
2023/1/14,0.9,0.068
2023/1/15,1.02,0.072
2023/1/16,1.08,0.064
2023/1/17,1.22,0.068
2023/1/18,1.48,0.069
2023/1/19,1.27,0.068
2023/1/20,1.21,0.064
2023/1/21,1.27,0.066
2023/1/22,1.5,0.073
2023/1/23,1.44,0.081
2023/1/24,1.22,0.063
2023/1/25,1.41,0.077
2023/1/26,1.52,0.086
2023/1/27,1.61,0.091
2023/1/28,1.39,0.079
2023/1/29,1.24,0.065
2023/1/30,1.24,0.07
2023/1/31,1.91,0.066
2023/2/1,1.24,0.066
2023/2/2,1.37,0.07
2023/2/3,1.89,0.077
2023/2/4,1.83,0.077
2023/2/5,1.69,0.123
2023/2/6,1.49,0.079
2023/2/7,1.52,0.084
2023/2/8,1.27,0.069
2023/2/9,1.5,0.068
2023/2/10,1.63,0.098
2023/2/11,1.85,0.09
2023/2/12,1.56,0.066
2023/2/13,1.59,0.089
2023/2/14,1.39,0.064
2023/2/15,2.17,0.067
2023/2/16,2.29,0.076
2023/2/17,1.59,0.057
2023/2/18,1.33,0.055
2023/2/19,1.2,0.058
2023/2/20,1.24,0.054
2023/2/21,1.18,0.061
2023/2/22,1.11,0.059
2023/2/23,1.38,0.055
2023/2/24,1.31,0.064
2023/2/25,0.86,0.055
2023/2/26,1.42,0.062
2023/2/27,0.99,0.062
2023/2/28,0.99,0.055
2023/3/1,0.83,0.05
2023/3/2,0.65,0.054
2023/3/3,0.62,0.064
2023/3/4,0.84,0.057
2023/3/5,0.72,0.058
2023/3/6,0.73,0.064
2023/3/7,0.71,0.063
2023/3/8,0.67,0.059
2023/3/9,0.83,0.065
2023/3/10,0.63,0.06
2023/3/11,0.82,0.069
2023/3/12,1.23,0.077
2023/3/13,0.77,0.064
2023/3/14,0.78,0.058
2023/3/15,0.81,0.061
2023/3/16,0.77,0.065
2023/3/17,0.87,0.07
2023/3/18,1.16,0.067
2023/3/19,0.44,0.063
2023/3/20,0.44,0.06
2023/3/21,0.7,0.069
2023/3/22,0.85,0.072
2023/3/23,1.54,0.166
2023/3/24,2.27,0.183
2023/3/25,2.12,0.237
2023/3/26,1.74,0.075
2023/3/27,1.33,0.092
2023/3/28,1.2,0.078
2023/3/29,1.28,0.096
2023/3/30,1.19,0.092
2023/3/31,1.17,0.06
2023/4/1,1.08,0.059
2023/4/2,1.09,0.088
2023/4/3,1.17,0.072
2023/4/4,1.41,0.154
2023/4/5,1.41,0.136
2023/4/6,1.21,0.058
2023/4/7,1.06,0.049
2023/4/8,0.87,0.049
2023/4/9,0.85,0.048
2023/4/10,0.79,0.045
2023/4/11,0.7,0.047
2023/4/12,0.69,0.048
2023/4/13,0.7,0.068
2023/4/14,0.57,0.062
2023/4/15,0.67,0.153
2023/4/16,0.82,0.229
2023/4/17,0.77,0.146
2023/4/18,0.91,0.128
2023/4/19,1.99,0.187
2023/4/20,1.33,0.1
2023/4/21,0.87,0.074
2023/4/22,0.88,0.07
2023/4/23,1.1,0.091
2023/4/24,1.38,0.098
2023/4/25,0.89,0.066
2023/4/26,0.76,0.057
2023/4/27,0.7,0.048
2023/4/28,0.78,0.051
2023/4/29,1.06,0.08
2023/4/30,0.81,0.058
2023/5/1,0.65,0.05
2023/5/2,0.79,0.064
2023/5/3,0.72,0.058
2023/5/4,0.44,0.059
2023/5/5,0.44,0.062
2023/5/6,0.95,0.111
2023/5/7,1.14,0.118
2023/5/8,0.72,0.064
2023/5/9,0.53,0.051
2023/5/10,0.54,0.075
2023/5/11,0.72,0.081
2023/5/12,0.52,0.058
2023/5/13,0.44,0.056
2023/5/14,0.39,0.056
2023/5/15,0.37,0.051
2023/5/16,0.41,0.052
2023/5/17,0.55,0.078
2023/5/18,0.49,0.06
2023/5/19,0.43,0.055
2023/5/20,0.54,0.07
2023/5/21,0.67,0.088
2023/5/22,0.59,0.089
2023/5/23,0.5,0.082
2023/5/24,0.47,0.072
2023/5/25,0.53,0.076
2023/5/26,0.56,0.069
2023/5/27,0.88,0.1
2023/5/28,0.78,0.102
2023/5/29,0.68,0.075
2023/5/30,0.71,0.075
2023/5/31,0.75,0.08
2023/6/1,0.77,0.08
2023/6/2,0.66,0.069
2023/6/3,0.57,0.128
2023/6/4,0.91,0.128
2023/6/5,0.62,0.069
2023/6/6,0.71,0.063
2023/6/7,0.78,0.068
2023/6/8,0.76,0.082
2023/6/9,0.71,0.074
2023/6/10,0.77,0.078
2023/6/11,0.67,0.074
2023/6/12,0.71,0.074
2023/6/13,0.6,0.072
2023/6/14,0.59,0.078
2023/6/15,0.6,0.077
2023/6/16,0.62,0.076
2023/6/17,0.7,0.087
2023/6/18,1.07,0.116
2023/6/19,1.16,0.104
2023/6/20,0.96,0.082
2023/6/21,0.97,0.082
2023/6/22,1.28,0.132
2023/6/23,1.18,0.111
2023/6/24,1.48,0.13
2023/6/25,1.27,0.08
2023/6/26,1.01,0.077
2023/6/27,0.95,0.074
2023/6/28,1,0.078
2023/6/29,0.96,0.074
2023/6/30,0.97,0.069
2023/7/1,0.68,0.064
2023/7/2,0.67,0.07
2023/7/3,0.94,0.075
2023/7/4,0.72,0.082
2023/7/5,0.73,0.073
2023/7/6,0.66,0.068
2023/7/7,0.52,0.065
2023/7/8,0.46,0.065
2023/7/9,0.43,0.065
2023/7/10,0.57,0.07
2023/7/11,0.57,0.069
2023/7/12,0.58,0.078
2023/7/13,0.54,0.069
2023/7/14,0.46,0.076
2023/7/15,0.5,0.093
2023/7/16,0.62,0.153
2023/7/17,0.87,0.15
2023/7/18,0.76,0.092
2023/7/19,0.66,0.086
2023/7/20,0.72,0.126
2023/7/21,0.8,0.106
2023/7/22,0.75,0.086
2023/7/23,0.72,0.088
2023/7/24,0.68,0.086
2023/7/25,0.6,0.072
2023/7/26,0.61,0.082
2023/7/27,0.75,0.1
2023/7/28,0.66,0.08
2023/7/29,1.14,0.095
2023/7/30,1.12,0.111
2023/7/31,1.39,0.109
2023/8/1,0.89,0.103
2023/8/2,1.43,0.096
2023/8/3,0.74,0.088
2023/8/4,0.59,0.077
2023/8/5,0.55,0.09
2023/8/6,2.03,0.081
2023/8/7,1.5,0.07
2023/8/8,1.5,0.08
2023/8/9,1.5,0.078
2023/8/10,1.66,0.114
2023/8/11,0.9,0.144
2023/8/12,0.65,0.109
2023/8/13,0.76,0.133
2023/8/14,0.68,0.084
2023/8/15,0.54,0.08
2023/8/16,0.58,0.08
2023/8/17,0.67,0.083
2023/8/18,0.52,0.089
2023/8/19,0.5,0.082
2023/8/20,0.62,0.116
2023/8/21,0.56,0.091
2023/8/22,0.54,0.088
2023/8/23,0.5,0.08
2023/8/24,0.46,0.078
2023/8/25,0.41,0.07
2023/8/26,0.4,0.064
2023/8/27,0.46,0.093
2023/8/28,0.61,0.145
2023/8/29,0.85,0.148
2023/8/30,0.44,0.079
2023/8/31,0.41,0.065
2023/9/1,0.43,0.064
2023/9/2,0.38,0.063
2023/9/3,0.4,0.065
2023/9/4,0.36,0.064
2023/9/5,0.48,0.062
2023/9/6,0.77,0.087
2023/9/7,0.85,0.095
2023/9/8,0.85,0.079
2023/9/9,0.81,0.073
2023/9/10,0.84,0.072
2023/9/11,0.83,0.069
2023/9/12,0.81,0.067
2023/9/13,0.81,0.072
2023/9/14,1.28,0.179
2023/9/15,1.62,0.157
2023/9/16,1.08,0.09
2023/9/17,0.86,0.068
2023/9/18,0.84,0.062
2023/9/19,0.83,0.061
2023/9/20,0.82,0.064
2023/9/21,0.8,0.064
2023/9/22,0.84,0.062
2023/9/23,0.74,0.059
2023/9/24,0.76,0.062
2023/9/25,0.78,0.073
2023/9/26,0.8,0.073
2023/9/27,0.78,0.067
2023/9/28,0.78,0.074
2023/9/29,0.85,0.084
2023/9/30,0.78,0.066
2023/10/1,0.98,0.065
2023/10/2,0.8,0.067
2023/10/3,0.75,0.063
2023/10/4,0.84,0.063
2023/10/5,0.76,0.062
2023/10/6,0.7,0.058
2023/10/7,0.71,0.067
2023/10/8,0.82,0.07
2023/10/9,0.72,0.062
2023/10/10,0.73,0.07
2023/10/11,0.71,0.056
2023/10/12,0.74,0.053
2023/10/13,0.74,0.052
2023/10/14,0.68,0.05
2023/10/15,0.73,0.051
2023/10/16,0.57,0.049
2023/10/17,0.63,0.052
2023/10/18,0.59,0.053
2023/10/19,0.57,0.053
2023/10/20,0.58,0.07
2023/10/21,0.68,0.061
2023/10/22,0.66,0.054
2023/10/23,0.6,0.05
2023/10/24,0.76,0.05
2023/10/25,0.71,0.05
2023/10/26,0.71,0.045
2023/10/27,1.01,0.102
2023/10/28,0.87,0.074
2023/10/29,0.88,0.061
2023/10/30,0.88,0.059
2023/10/31,1.22,0.068
2023/11/1,1.15,0.066
2023/11/2,0.91,0.059
2023/11/3,0.84,0.065
2023/11/4,0.96,0.067
2023/11/5,0.89,0.057
2023/11/6,0.84,0.064
2023/11/7,0.68,0.056
2023/11/8,0.74,0.115
2023/11/9,0.3,0.067
2023/11/10,0.74,0.147
2023/11/11,0.77,0.124
2023/11/12,0.55,0.075
2023/11/13,0.5,0.057
2023/11/14,0.48,0.054
2023/11/15,0.6,0.053
2023/11/16,0.64,0.054
2023/11/17,0.59,0.047
2023/11/18,0.48,0.055
2023/11/19,0.46,0.046
2023/11/20,0.46,0.071
2023/11/21,0.45,0.072
2023/11/22,0.62,0.085
2023/11/23,0.65,0.059
2023/11/24,0.72,0.065
2023/11/25,0.76,0.06
2023/11/26,0.46,0.064
2023/11/27,0.5,0.061
2023/11/28,0.81,0.048
2023/11/29,0.7,0.048
2023/11/30,0.61,0.054
2023/12/1,0.3,0.049
2023/12/2,0.32,0.048
2023/12/3,0.33,0.049
2023/12/4,0.45,0.088
2023/12/5,0.33,0.06
2023/12/6,0.35,0.053
2023/12/7,0.24,0.047
2023/12/8,0.23,0.049
2023/12/9,0.44,0.053
2023/12/10,0.56,0.05
2023/12/11,0.59,0.065
2023/12/12,0.39,0.051
2023/12/13,0.25,0.045
2023/12/14,0.67,0.047
2023/12/15,0.64,0.049
2023/12/16,0.55,0.054
2023/12/17,0.31,0.039
2023/12/18,0.38,0.037
2023/12/19,0.4,0.044
2023/12/20,0.32,0.037
2023/12/21,0.25,0.034
2023/12/22,0.26,0.039
2023/12/23,0.35,0.033
2023/12/24,0.48,0.048
2023/12/25,1.13,0.048
2023/12/26,1.17,0.043
2023/12/27,1.21,0.044
2023/12/28,1.06,0.043
2023/12/29,0.78,0.046
2023/12/30,0.78,0.055
2023/12/31,0.64,0.081
