date,crop_daily_share,impervious_daily_share,crop_daily_total_prior,impervious_daily_total_prior,daily_total_prior
2023-01-01,0.000479865216021202,0.0005303205443745199,0.03399365190294195,0.009916994179803523,0.043910646082745475
2023-01-02,0.00048884065904573,0.0005413471942043503,0.034629472286799516,0.01012319253162135,0.04475266481842087
2023-01-03,0.0007716243510491227,0.0009500964089563723,0.05466186902831985,0.017766802847484164,0.07242867187580401
2023-01-04,0.0005287688007151537,0.000592215105502054,0.03745798184266149,0.011074422472888411,0.0485324043155499
2023-01-05,0.0005050211930560425,0.0005602626706217329,0.03577570131609006,0.010476911940626407,0.046252613256716466
2023-01-06,0.00048349215159660964,0.0005312125375428574,0.03425058401910383,0.009933674452051436,0.044184258471155265
2023-01-07,0.00047512069376710517,0.0005194224017045155,0.03365754994646173,0.009713198911874442,0.043370748858336174
2023-01-08,0.0008041731510516558,0.0010118672488082466,0.056967626020499304,0.018921917552714215,0.07588954357321352
2023-01-09,0.005788448640706736,0.008404489015919666,0.4100537017076652,0.15716394459769778,0.567217646305363
2023-01-10,0.0009380915528084025,0.0011246102659134523,0.06645440560094723,0.02103021197258156,0.0874846175735288
2023-01-11,0.0008417155889325915,0.0010151803920946298,0.05962713231998479,0.018983873332169582,0.07861100565215437
2023-01-12,0.002048660394216451,0.0028158202722435655,0.1451271023262934,0.052655839090954684,0.19778294141724806
2023-01-13,0.002544279317792013,0.003447565514080289,0.18023674687238622,0.06446947511330141,0.24470622198568764
2023-01-14,0.000946776435701833,0.0011326114132051153,0.06706964270511785,0.02117983342693566,0.08824947613205351
2023-01-15,0.0008029626221659611,0.0009429873143508211,0.056881872154236686,0.01763386277836036,0.07451573493259704
2023-01-16,0.0009234845763879322,0.0011412136026381968,0.06541964739132113,0.021340694369334282,0.0867603417606554
2023-01-17,0.000740761578316841,0.0008595904668469084,0.052475550207965016,0.01607434173003719,0.0685498919380022
2023-01-18,0.0007107870308298272,0.0008193598853333823,0.05035215326398496,0.015322029855734252,0.06567418311971922
2023-01-19,0.0006195699832014556,0.0006987422068290084,0.04389033760999112,0.013066479267702458,0.05695681687769358
2023-01-20,0.0005786952366873917,0.0006441927482795946,0.04099477056693483,0.012046404392828421,0.05304117495976325
2023-01-21,0.0005750342130438791,0.0006384805178307793,0.040735423652028396,0.011939585683435575,0.05267500933546397
2023-01-22,0.0005845185589151144,0.0006500160705073172,0.041407294713546705,0.012155300518486834,0.053562595232033536
2023-01-23,0.0005852678696420716,0.0006500816456325068,0.04146037588544435,0.01215652677332788,0.05361690265877223
2023-01-24,0.0005663415052215627,0.0006243179251943228,0.0401196322298955,0.011674745201133839,0.05179437743102934
2023-01-25,0.0005758735769285806,0.0006359012037066435,0.040794884189620656,0.011891352509314236,0.052686236698934893
2023-01-26,0.0005810438963336243,0.0006417552587134547,0.04116114961627395,0.012000823337941604,0.053161972954215556
2023-01-27,0.0005730997639948137,0.0006303924483658065,0.0405983872813926,0.011788338784440584,0.05238672606583319
2023-01-28,0.0005739198314967282,0.0006305287802659535,0.04065648086322823,0.011790888190973332,0.05244736905420156
2023-01-29,0.0005681875300181088,0.000622061536380264,0.04025040462648283,0.011632550730310939,0.05188295535679377
2023-01-30,0.0006084128590274681,0.0006739103706196709,0.043099966933505846,0.012602123930587848,0.055702090864093695
2023-01-31,0.0006902190127858326,0.0007803310060416652,0.04889511486574838,0.01459218981297914,0.06348730467872751
2023-02-01,0.0006880755922478702,0.0007556243106453754,0.04874327495483913,0.014130174609068522,0.06287344956390765
2023-02-02,0.0006692525608556026,0.0007299639232354329,0.04740985141101089,0.013650325364502598,0.06106017677551349
2023-02-03,0.0007226389993307691,0.0007990762805512518,0.05119174671259169,0.014942726446308412,0.0661344731589001
2023-02-04,0.0014680078848501614,0.0019554246632403883,0.10399367856278544,0.036566441202595265,0.1405601197653807
2023-02-05,0.0041371969025552945,0.005918088296965241,0.29307902857701706,0.11066825115325002,0.4037472797302671
2023-02-06,0.001273672407860278,0.0016089308146034979,0.0902269533728221,0.030087006233085415,0.12031395960590752
2023-02-07,0.0018528615225938507,0.002460216070335658,0.1312567102605484,0.04600604051527681,0.1772627507758252
2023-02-08,0.0010365267766427877,0.0012343747464339915,0.07342755685737508,0.023082807758315647,0.09651036461569072
2023-02-09,0.001178502202345918,0.0014632271080677716,0.08348509601418483,0.027362346920867333,0.11084744293505217
2023-02-10,0.00254455678089455,0.0034367773405356876,0.18025640235856993,0.06426773626801736,0.24452413862658728
2023-02-11,0.0020567543796237613,0.0026881655404462886,0.14570048025254725,0.0502686956063456,0.19596917585889284
2023-02-12,0.001437898476676996,0.0017982339951527744,0.1018607280877984,0.03362697570935689,0.1354877037971553
2023-02-13,0.0014849657761385926,0.0018897338992276327,0.10519497558165791,0.03533802391555674,0.14053299949721465
2023-02-14,0.0009293866342243547,0.0010598390279844695,0.0658377491684533,0.019818989823309582,0.08565673899176288
2023-02-15,0.0008690122232033482,0.0009796362845122058,0.06156082589172519,0.01831919852037825,0.07988002441210344
2023-02-16,0.000841452246960518,0.0009425040098446306,0.0596084771746831,0.017624824984094595,0.07723330215877769
2023-02-17,0.0008532696571570327,0.0009570563624482153,0.0604456225130042,0.01789695397778163,0.07834257649078583
2023-02-18,0.0008191333422904988,0.0009112965423516339,0.058027405967858936,0.017041245341975556,0.07506865130983449
2023-02-19,0.0007784255666040837,0.0008569140546298688,0.055143667138233286,0.01602429282157855,0.07116795995981184
2023-02-20,0.0007683406426670595,0.0008427267170822395,0.054429251126534496,0.015758989609437883,0.07018824073597238
2023-02-21,0.0007669981295756706,0.0008400167327873157,0.054334147499140506,0.015708312903122808,0.0700424604022633
2023-02-22,0.0007656453127669594,0.0008372964447750696,0.054238313956411405,0.015657443517293805,0.06989575747370522
2023-02-23,0.0008583633152370145,0.0009580476069175921,0.060806457251390104,0.017915490249358974,0.07872194750074908
2023-02-24,0.0007607172341620978,0.0008289496881613704,0.053889208868043006,0.015501359168617628,0.06939056803666063
2023-02-25,0.0008752897029575776,0.0009783926726469926,0.0620055225575148,0.018295942978498764,0.08030146553601356
2023-02-26,0.0009460892272628945,0.001070388000607102,0.06702096085930345,0.020016255611352812,0.08703721647065626
2023-02-27,0.00274752822928721,0.0008780713184252232,0.19463489976270595,0.016419933654551674,0.21105483341725761
2023-02-28,0.0027614105810911584,0.0008953723482380089,0.19561832556449768,0.01674346291205077,0.21236178847654846
2023-03-01,0.0035399097620294365,0.001664299230751543,0.2507672075421653,0.03112239561505386,0.28188960315721917
2023-03-02,0.003516563039118879,0.0016327476806197755,0.24911332569118141,0.030532381627589807,0.2796457073187712
2023-03-03,0.003556704994555748,0.0016922026144311694,0.2519569818143292,0.031644188889862875,0.28360117070419205
2023-03-04,0.0035398285890865314,0.0016614831154015677,0.2507614572508899,0.03106973425800932,0.2818311915088992
2023-03-05,0.0035186125828885833,0.0016327460175841772,0.24925851537182725,0.03053235052882412,0.2797908659006514
2023-03-06,0.003532383062724921,0.0016499351754293518,0.2502340161634334,0.03085378778052888,0.28108780394396227
2023-03-07,0.003524252387727961,0.0016383858224235548,0.24965803914664877,0.03063781487932048,0.28029585402596924
2023-03-08,0.003544542665792428,0.0016641459853021618,0.2510954024447356,0.031119529925150432,0.28221493236988604
2023-03-09,0.0035319903612564085,0.0016468075315537692,0.25020619719140397,0.030795300840055488,0.28100149803145946
2023-03-10,0.003508474194529419,0.0016150865376055705,0.24854031194046405,0.03020211825322417,0.2787424301936882
2023-03-11,0.003498060847085782,0.0016005707765513284,0.24780263040755682,0.029930673521509847,0.27773330392906664
2023-03-12,0.004222477945574222,0.0027090805782077412,0.2991203376644779,0.05065980681248477,0.34978014447696265
2023-03-13,0.0035384189396102453,0.001651868638704072,0.2506615976819898,0.03088994354376615,0.281551541225756
2023-03-14,0.003543241761573246,0.0016573751962688395,0.2510032463898487,0.030992916170227303,0.28199616256007604
2023-03-15,0.0035370967389745703,0.0016484952312630938,0.2505679329889586,0.03082686082461986,0.28139479381357846
2023-03-16,0.0035418626386217226,0.0016539448665120137,0.25090554931996284,0.03092876900377466,0.2818343183237375
2023-03-17,0.003531283249505877,0.0016392630637855634,0.25015610539499633,0.03065421929279004,0.2808103246877864
2023-03-18,0.0038794979377877173,0.002095507977146668,0.2748236339128819,0.0391859991726427,0.3140096330855246
2023-03-19,0.004057021107330224,0.0023277299948305744,0.2873993752432731,0.04352855090333175,0.3309279261466048
2023-03-20,0.003853808444361469,0.0020602461852956746,0.27300379019856647,0.03852660366502912,0.3115303938635956
2023-03-21,0.0037796524860880245,0.001962159480960368,0.26775058211447567,0.03669238229395889,0.30444296440843455
2023-03-22,0.0036245089378288864,0.0017577869693739703,0.25676021315579833,0.03287061632729325,0.2896308294830916
2023-03-23,0.008633143701592894,0.009259183833658539,0.6115718998208407,0.1731467376894147,0.7847186375102554
2023-03-24,0.015821334182538054,0.019375757669463162,1.1207833134909957,0.3623266684189612,1.483109981909957
2023-03-25,0.021698981647378462,0.02788221873357456,1.5371558599002904,0.5213974903178443,2.058553350218135
2023-03-26,0.008524864085081723,0.008332391176322245,0.6039013717871893,0.155815714997226,0.7597170867844153
2023-03-27,0.011313977972571783,0.01251410092308506,0.8014821995769852,0.23401368726169067,1.0354958868386759
2023-03-28,0.0074092437357353245,0.006897456091448799,0.5248708262394904,0.12898242891009257,0.653853255149583
2023-03-29,0.01101880063080403,0.012061400772871766,0.7805718366861575,0.22554819445270208,1.0061200311388596
2023-03-30,0.008556040585830657,0.008462678710822588,0.6061099151002438,0.15825209189238243,0.7643620069926262
2023-03-31,0.006205241111638095,0.005166912443981491,0.4395792803484427,0.0966212627024539,0.5362005430508966
2023-04-01,0.005394696435260016,0.004193975457432819,0.3821602954738195,0.07842734105399372,0.46058763652781326
2023-04-02,0.0069159228234351895,0.006399665373983111,0.48992397281214883,0.11967374249348418,0.609597715305633
2023-04-03,0.0033544263533152106,0.004080907391288296,0.23762756286884953,0.07631296821709115,0.31394053108594067
2023-04-04,0.01335825312955222,0.018711472415665804,0.9462986516974793,0.3499045341729506,1.29620318587043
2023-04-05,0.011357570868740991,0.015212958593419704,0.8045703203416119,0.28448232569694853,1.0890526460385606
2023-04-06,0.00568697760579425,0.007104841204173133,0.40286549359446466,0.13286053051803762,0.5357260241125023
2023-04-07,0.00440720216034764,0.005406682503954244,0.31220620103902685,0.10110496282394438,0.41331116386297123
2023-04-08,0.0038378698203463367,0.004658895171891624,0.27187469807333453,0.08712133971437339,0.35899603778770794
2023-04-09,0.0035047921669508785,0.004221205971425738,0.24827947710680023,0.07893655166566131,0.32721602877246153
2023-04-10,0.0032044889874632463,0.0038265472788941916,0.22700599987189637,0.0715564341153214,0.29856243398721777
2023-04-11,0.002982906829995776,0.003535224090046437,0.2113091198369008,0.06610869048386837,0.2774178103207692
2023-04-12,0.002986638136670067,0.003539639132322495,0.21157344560170754,0.06619125177443066,0.2777646973761382
2023-04-13,0.002958234993171523,0.00360162684127742,0.2095613669162707,0.06735042193188776,0.2769117888481585
2023-04-14,0.0025041410791668034,0.0029438001369492374,0.17739335404817635,0.05504906256095075,0.2324424166091271
2023-04-15,0.0022683098208898665,0.0026057027869510687,0.16068706771183816,0.04872664211598499,0.20941370982782315
2023-04-16,0.0020077654388835466,0.0022530854137406014,0.14223010369051045,0.042132697236949256,0.1843628009274597
2023-04-17,0.0018012176337899354,0.001981582726479078,0.12759825717767903,0.03705559698515876,0.1646538541628378
2023-04-18,0.0019906411631963918,0.0022298075176375395,0.1410170200008324,0.04169740057982199,0.1827144205806544
2023-04-19,0.013265659082615507,0.0186210877475578,0.9397392894124825,0.3482143408793309,1.2879536302918133
2023-04-20,0.003531145299973868,0.004250977782457565,0.25014633305014883,0.07949328453195648,0.3296396175821053
2023-04-21,0.002862743730933441,0.003373353119276284,0.20279676589932497,0.06308170333046652,0.26587846922979147
2023-04-22,0.0028290802631442606,0.003367197247581214,0.20041204584113942,0.0629665885297687,0.26337863437090814
2023-04-23,0.007002644160395823,0.009458435317758094,0.4960673123224401,0.17687274044207638,0.6729400527645165
2023-04-24,0.004445596303731966,0.005465241742839898,0.3149260421563725,0.10220002059110611,0.4171260627474786
2023-04-25,0.0039070187863243285,0.00478620417852603,0.27677321082321543,0.08950201813843678,0.3662752289616522
2023-04-26,0.003162927119039393,0.0037658408136208494,0.22406175711275061,0.0704212232147099,0.2944829803274605
2023-04-27,0.0027195819877926354,0.0031836973552152887,0.1926551880152303,0.059535140542525906,0.2521903285577562
2023-04-28,0.0026743930740503394,0.0031241499938358757,0.18945400536572604,0.05842160488473088,0.24787561025045693
2023-04-29,0.006486820242948563,0.00581490239132796,0.4595263460104762,0.10873867471783287,0.5682650207283091
2023-04-30,0.004566129098476333,0.0030508472293299103,0.3234645853360635,0.057050843188469334,0.3805154285245328
2023-05-01,0.004123395437145617,0.0024932459869022546,0.2921013327673955,0.04662369995507217,0.3387250327224677
2023-05-02,0.0040167361324275255,0.0023530836376975564,0.28454558762116594,0.044002664024944314,0.32854825164611023
2023-05-03,0.0040675571437206355,0.0024196305678313183,0.2881457480611698,0.04524709161844566,0.33339283967961547
2023-05-04,0.003954229096364328,0.002270748269183101,0.280117589186449,0.042462992633723995,0.322580581820173
2023-05-05,0.003884607481267833,0.0021792471148300457,0.2751855939730133,0.04075192104732186,0.3159375150203351
2023-05-06,0.018337965212465605,0.0238522384035918,1.2990614556510636,0.4460368581471667,1.7450983137982303
2023-05-07,0.010571366814955746,0.011318559195555697,0.7488756251714651,0.21165705695689158,0.9605326821283566
2023-05-08,0.00668605027408594,0.00585587147791055,0.47363980141624806,0.1095047966369273,0.5831445980531753
2023-05-09,0.006078747211081056,0.005063844144911209,0.430618452432982,0.09469388550983963,0.5253123379428216
2023-05-10,0.009021009349340914,0.009431868423880361,0.6390483023073104,0.17637593952656277,0.8154242418338731
2023-05-11,0.008316895390313151,0.00825452272291746,0.5891688694497836,0.15435957491855654,0.7435284443683402
2023-05-12,0.005985601150222166,0.004938962207328747,0.4240199854817383,0.09235859327704758,0.5163785787587859
2023-05-13,0.005441480059984346,0.004222255706403249,0.3854744474492911,0.07895618170974077,0.4644306291590319
2023-05-14,0.005249622661387794,0.003975583802148065,0.3718832693327114,0.07434341710016884,0.4462266864328802
2023-05-15,0.004889894038873568,0.0034983683136470627,0.3464000937138036,0.06541948746520009,0.4118195811790037
2023-05-16,0.004854696344302716,0.00345223084944793,0.34390668903040444,0.0645567168846763,0.40846340591508074
2023-05-17,0.005907758566621737,0.004957201466528765,0.4185056168594839,0.09269966742408792,0.5112052842835718
2023-05-18,0.00525653563236952,0.0040514179923878246,0.37237298419705683,0.07576151645765233,0.44813450065470917
2023-05-19,0.004650327594800373,0.0031842746889812097,0.32942920681565846,0.05954593668394863,0.3889751434996071
2023-05-20,0.005194092359012807,0.004010612733751582,0.3679495027124673,0.0749984581211546,0.44294796083362187
2023-05-21,0.006538876830046984,0.005926665081312991,0.4632140346405284,0.11082863702055296,0.5740426716610814
2023-05-22,0.006037420244589938,0.00518171359261436,0.4276908501267512,0.09689804418188853,0.5245888943086398
2023-05-23,0.004716231112263157,0.003271374010098786,0.33409781199272204,0.061174693988847305,0.3952725059815693
2023-05-24,0.004734769249314481,0.003321469432847022,0.33541105362143786,0.062111478394239326,0.39752253201567717
2023-05-25,0.006123855443336607,0.005497759763035726,0.43381391960596527,0.1028081075687681,0.5366220271747334
2023-05-26,0.004551621388258219,0.003058503097410623,0.3224368591442122,0.05719400792157866,0.37963086706579086
2023-05-27,0.004177424872291847,0.0025650525476944397,0.2959287779531545,0.04796648264188603,0.3438952605950405
2023-05-28,0.004078148622466804,0.00243500819578986,0.2888960484155484,0.04553465326127039,0.33443070167681876
2023-05-29,0.004007264659332113,0.0023422446933986083,0.2838746284670869,0.043799975766553985,0.32767460423364086
2023-05-30,0.0038750671295689765,0.002169023027529422,0.2745097554586663,0.04056073061480019,0.3150704860734665
2023-05-31,0.0038303371728250417,0.002110618358750137,0.27134108532292595,0.03946856330862757,0.3108096486315535
2023-06-01,0.0037453959253776438,0.002030463260515112,0.2653238473537523,0.037969662971632595,0.3032935103253849
2023-06-02,0.003731197033559221,0.0020121619550860837,0.26431799785733523,0.03762742856010977,0.301945426417445
2023-06-03,0.006129430951670477,0.008396216834401025,0.4342088886163366,0.1570092548032992,0.5912181434196357
2023-06-04,0.005051480337409161,0.006541916824589055,0.357846867102065,0.12233384461981535,0.4801807117218803
2023-06-05,0.0025046379001641816,0.00295918096916209,0.17742854884763062,0.05533668412333109,0.23276523297096172
2023-06-06,0.00224737946853066,0.0026219254721217716,0.15920436155071196,0.049030006328677135,0.2082343678793891
2023-06-07,0.0025881153043711435,0.003169287212716198,0.18334208816165182,0.059265670877792914,0.24260775903944473
2023-06-08,0.0022383042874840014,0.0026338675037032443,0.15856147572536666,0.04925332231925068,0.20781479804461733
2023-06-09,0.0022881513355916937,0.0027278631173819306,0.1620926406133156,0.05101104029504211,0.2131036809083577
2023-06-10,0.0021632319206316484,0.002536231861992564,0.15324334925754599,0.04742753581926096,0.20067088507680694
2023-06-11,0.0018618084323869179,0.002118068176872253,0.13189050935028926,0.03960787490751114,0.1714983842578004
2023-06-12,0.0017311678972475415,0.001947087241228594,0.12263593384101584,0.036410531410974716,0.15904646525199057
2023-06-13,0.0018455324915307501,0.00209768982240548,0.13073752170003836,0.03922679967898248,0.16996432137902084
2023-06-14,0.0018973367123618417,0.002194326344409333,0.13440733270371288,0.041033902640454534,0.17544123534416742
2023-06-15,0.0018334515237863893,0.002082873912254049,0.12988170594502782,0.03894974215915072,0.16883144810417855
2023-06-16,0.0023903234403629707,0.002906372085015078,0.16933051251531284,0.05434915798978197,0.2236796705050948
2023-06-17,0.007414090341495656,0.010469837318654193,0.5252141597915523,0.19578595785883343,0.7210001176503857
2023-06-18,0.008847063815350298,0.012282136088968014,0.6267260006794152,0.2296759448637019,0.8564019455431171
2023-06-19,0.002873698244687042,0.00346834417853786,0.20357278365363007,0.06485803613865798,0.26843081979228806
2023-06-20,0.0022058342565767636,0.0025795808670488756,0.15626129873589795,0.04823816221381398,0.20449946094971194
2023-06-21,0.0019427564261066193,0.0022297842726714916,0.1376248652253929,0.0416969658989569,0.1793218311243498
2023-06-22,0.002646248168112164,0.003284159921902295,0.1874602202290657,0.061413790539572924,0.24887401076863863
2023-06-23,0.004106639632083591,0.005418927261747363,0.29091435153680156,0.1013339397946757,0.39224829133147726
2023-06-24,0.0052313702340277095,0.0068957816986017426,0.37059026737852296,0.1289511177638526,0.49954138514237556
2023-06-25,0.0025859867209066154,0.003094481968934728,0.18319129930902464,0.057866812819079426,0.24105811212810407
2023-06-26,0.0025871355118403726,0.003147805561634028,0.183272679658772,0.058863964002556335,0.24213664366132834
2023-06-27,0.0021571426841541005,0.00252530375229484,0.1528119877454765,0.04722318016791352,0.20003516791339002
2023-06-28,0.0019389709738759876,0.0022294174984496973,0.13735670378937498,0.04169010722100935,0.17904681101038433
2023-06-29,0.0036717458840667874,0.0019486083919830453,0.26010647842729123,0.03643897693008295,0.2965454553573742
2023-06-30,0.003702274020967367,0.0019893925629101378,0.2622690916453283,0.03720164092641958,0.2994707325717479
2023-07-01,0.004460512614377217,0.0033411374306567764,0.3159827136024821,0.06247926995328173,0.3784619835557638
2023-07-02,0.00332353366547373,0.0015785166341334281,0.23543912486215904,0.029518261058295112,0.26495738592045415
